Afghanistan	Pashto,Persian,Dari
Albania	Albanian
Algeria	Arabic,Berber
American Samoa	English,Samoan
Andorra	Catalan
Angola	Portuguese
Anguilla	English
Antarctica	None
Antigua and Barbuda	English
Argentina	Spanish
Armenia	Armenian
Aruba	Dutch,Papiamento
Australia	English
Austria	German
Azerbaijan	Azerbaijani
Bahamas	English
Bahrain	Arabic
Bangladesh	Bengali
Barbados	English
Belarus	Belarusian,Russian
Belgium	Dutch,French,German
Belize	English
Benin	French
Bermuda	English
Bhutan	Dzongkha
Bolivia	Spanish,Quechua,Aymara,Guarani,Aymara,Unique Indigenous Languages
Bosnia and Herzegovina	Bosnian,Croatian,Serbian
Botswana	English,Tswana
Brazil	Portuguese
British Indian Ocean Territory	English
British Virgin Islands	English
Brunei	Malay
Bulgaria	Bulgarian
Burkina Faso	French,Mooré,Bissa,Dyula,Fula
Burma	Burmese
Burundi	Kirundi,French,English
Cambodia	Khmer
Cameroon	English,French
Canada	English,French
Cape Verde	Portuguese
Cayman Islands	English
Central African Republic	French,Sango
Chad	French,Arabic
Chile	Spanish
China	Chinese
Christmas Island	English,Malay,Chinese
Cocos (Keeling) Islands	English,Malay
Colombia	Spanish
Comoros	Comorian,Arabic,French
Congo, Democratic Republic of the	French
Congo, Republic of the	French
Cook Islands	English,Cook Islands Maori
Costa Rica	Spanish
Cote d'Ivoire	French
Croatia	Croatian
Cuba	Spanish
Cyprus	Greek,Turkish
Czech Republic	Czech
Denmark	Danish
Djibouti	French,Arabic
Dominica	English
Dominican Republic	Spanish
Ecuador	Spanish
Egypt	Arabic
El Salvador	Spanish
Equatorial Guinea	Spanish,French,Portuguese
Eritrea	Tigrinya,Arabic,English
Estonia	Estonian
Ethiopia	Amharic
Falkland Islands (Islas Malvinas)	English
Faroe Islands	Faroese,Danish
Fiji	English,Fijian,Hindi
Finland	Finnish,Swedish
France	French
French Guiana	French
French Polynesia	French
French Southern and Antarctic Lands	French
Gabon	French
Gambia, The	English
Gaza Strip	Arabic
Georgia	Georgian
Germany	German
Ghana	English
Gibraltar	English
Greece	Greek
Greenland	Greenlandic,Danish
Grenada	English
Guadeloupe	French
Guam	English,Chamorro
Guatemala	Spanish
Guernsey	English,French
Guinea	French
Guinea-Bissau	Portuguese
Guyana	English
Haiti	French,Haitian Creole
Holy See (Vatican City)	Latin,Italian
Honduras	Spanish
Hong Kong	Chinese,English
Hungary	Hungarian
Iceland	Icelandic
India	Hindi,English
Indonesia	Indonesian
